SID,NAME,ISO_TIME,LAT,LON
1842298N11080,UNNAMED,1842-10-25 03:00:00,10.9,80.3
1842298N11080,UNNAMED,1842-10-25 06:00:00,10.9,79.8
1842298N11080,UNNAMED,1842-10-25 09:00:00,10.8,79.4
1842298N11080,UNNAMED,1842-10-25 12:00:00,10.8,78.9
1842298N11080,UNNAMED,1842-10-25 15:00:00,10.8,78.4
1842298N11080,UNNAMED,1842-10-25 18:00:00,10.8,77.9
1842298N11080,UNNAMED,1842-10-25 21:00:00,10.8,77.4
1842298N11080,UNNAMED,1842-10-26 00:00:00,10.8,76.9
1842298N11080,UNNAMED,1842-10-26 03:00:00,10.8,76.4
1842298N11080,UNNAMED,1842-10-26 06:00:00,10.8,75.8
1842298N11080,UNNAMED,1842-10-26 09:00:00,10.8,75.3
1842298N11080,UNNAMED,1842-10-26 12:00:00,10.9,74.7
1842298N11080,UNNAMED,1842-10-26 15:00:00,10.9,74.1
1842298N11080,UNNAMED,1842-10-26 18:00:00,11.0,73.5
1842298N11080,UNNAMED,1842-10-26 21:00:00,11.0,73.0
1842298N11080,UNNAMED,1842-10-27 00:00:00,11.1,72.4
1842298N11080,UNNAMED,1842-10-27 03:00:00,11.2,71.9
1842298N11080,UNNAMED,1842-10-27 06:00:00,11.3,71.4
1842298N11080,UNNAMED,1842-10-27 09:00:00,11.3,70.9
1842298N11080,UNNAMED,1842-10-27 12:00:00,11.3,70.5
1842298N11080,UNNAMED,1842-10-27 15:00:00,11.4,70.0
1842298N11080,UNNAMED,1842-10-27 18:00:00,11.5,69.5
1842298N11080,UNNAMED,1842-10-27 21:00:00,11.6,68.9
1842298N11080,UNNAMED,1842-10-28 00:00:00,11.6,68.4
1842298N11080,UNNAMED,1842-10-28 03:00:00,11.7,68.0
1842298N11080,UNNAMED,1842-10-28 06:00:00,11.7,67.7
1842298N11080,UNNAMED,1842-10-28 09:00:00,11.8,67.5
1842298N11080,UNNAMED,1842-10-28 12:00:00,11.8,67.3
1842298N11080,UNNAMED,1842-10-28 15:00:00,11.8,67.1
1842298N11080,UNNAMED,1842-10-28 18:00:00,11.8,66.9
1842298N11080,UNNAMED,1842-10-28 21:00:00,11.9,66.6
1842298N11080,UNNAMED,1842-10-29 00:00:00,12.0,66.4
1842298N11080,UNNAMED,1842-10-29 03:00:00,12.0,66.2
1842298N11080,UNNAMED,1842-10-29 06:00:00,12.0,66.0
1842298N11080,UNNAMED,1842-10-29 09:00:00,12.1,65.8
1842298N11080,UNNAMED,1842-10-29 12:00:00,12.1,65.7
1842298N11080,UNNAMED,1842-10-29 15:00:00,12.1,65.5
1842298N11080,UNNAMED,1842-10-29 18:00:00,12.1,65.3
1842298N11080,UNNAMED,1842-10-29 21:00:00,12.1,65.1
1842298N11080,UNNAMED,1842-10-30 00:00:00,12.2,64.9
1842298N11080,UNNAMED,1842-10-30 03:00:00,12.2,64.7
1842298N11080,UNNAMED,1842-10-30 06:00:00,12.2,64.5
1842298N11080,UNNAMED,1842-10-30 09:00:00,12.2,64.3
1842298N11080,UNNAMED,1842-10-30 12:00:00,12.3,64.1
1842298N11080,UNNAMED,1842-10-30 15:00:00,12.3,63.9
1842298N11080,UNNAMED,1842-10-30 18:00:00,12.4,63.7
1842298N11080,UNNAMED,1842-10-30 21:00:00,12.4,63.5
1842298N11080,UNNAMED,1842-10-31 00:00:00,12.5,63.2
1842298N11080,UNNAMED,1842-10-31 03:00:00,12.6,63.0
1842298N11080,UNNAMED,1842-10-31 06:00:00,12.7,62.8
1842298N11080,UNNAMED,1842-10-31 09:00:00,12.8,62.5
1842298N11080,UNNAMED,1842-10-31 12:00:00,12.8,62.3
1842298N11080,UNNAMED,1842-10-31 15:00:00,12.9,62.1
1842298N11080,UNNAMED,1842-10-31 18:00:00,12.9,61.9
1842298N11080,UNNAMED,1842-10-31 21:00:00,12.9,61.7
1842298N11080,UNNAMED,1842-11-01 00:00:00,13.0,61.5
1842298N11080,UNNAMED,1842-11-01 03:00:00,13.0,61.3
1842298N11080,UNNAMED,1842-11-01 06:00:00,13.1,61.1
1842298N11080,UNNAMED,1842-11-01 09:00:00,13.1,60.8
1842298N11080,UNNAMED,1842-11-01 12:00:00,13.2,60.6
1842298N11080,UNNAMED,1842-11-01 15:00:00,13.3,60.4
1842298N11080,UNNAMED,1842-11-01 18:00:00,13.4,60.2
1842298N11080,UNNAMED,1842-11-01 21:00:00,13.5,60.0
1842298N11080,UNNAMED,1842-11-02 00:00:00,13.5,59.9
1842298N11080,UNNAMED,1842-11-02 03:00:00,13.6,59.7
1845336N10074,UNNAMED,1845-12-02 03:00:00,10.0,74.3
1845336N10074,UNNAMED,1845-12-02 06:00:00,10.0,74.2
1845336N10074,UNNAMED,1845-12-02 09:00:00,10.1,74.0
1845336N10074,UNNAMED,1845-12-02 12:00:00,10.1,73.9
1845336N10074,UNNAMED,1845-12-02 15:00:00,10.2,73.7
1845336N10074,UNNAMED,1845-12-02 18:00:00,10.3,73.5
1845336N10074,UNNAMED,1845-12-02 21:00:00,10.4,73.4
1845336N10074,UNNAMED,1845-12-03 00:00:00,10.6,73.2
1845336N10074,UNNAMED,1845-12-03 03:00:00,10.7,73.0
1845336N10074,UNNAMED,1845-12-03 06:00:00,10.8,72.8
1845336N10074,UNNAMED,1845-12-03 09:00:00,11.0,72.6
1845336N10074,UNNAMED,1845-12-03 12:00:00,11.1,72.4
1845336N10074,UNNAMED,1845-12-03 15:00:00,11.3,72.2
1845336N10074,UNNAMED,1845-12-03 18:00:00,11.4,72.1
